code,pref,name,mui,junmui,muiPop
1586,北海道,むかわ町（胆振総合振興局）,,,
1601,北海道,日高町（日高振興局）,,,
1602,北海道,平取町（日高振興局）,,,
1604,北海道,新冠町（日高振興局）,,,
1607,北海道,浦河町（日高振興局）,,,
1608,北海道,様似町（日高振興局）,,,
1609,北海道,えりも町（日高振興局）,,,
1610,北海道,新ひだか町（日高振興局）,,,
1631,北海道,音更町（十勝総合振興局）,,,
1632,北海道,士幌町（十勝総合振興局）,,,
1633,北海道,上士幌町（十勝総合振興局）,,,
1634,北海道,鹿追町（十勝総合振興局）,,,
1635,北海道,新得町（十勝総合振興局）,,,
1636,北海道,清水町（十勝総合振興局）,,,
1637,北海道,芽室町（十勝総合振興局）,,,
1638,北海道,中札内村（十勝総合振興局）,,,
1639,北海道,更別村（十勝総合振興局）,,,
1641,北海道,大樹町（十勝総合振興局）,,,
1642,北海道,広尾町（十勝総合振興局）,,,
1643,北海道,幕別町（十勝総合振興局）,,,
1644,北海道,池田町（十勝総合振興局）,,,
1645,北海道,豊頃町（十勝総合振興局）,,,
1646,北海道,本別町（十勝総合振興局）,,,
1647,北海道,足寄町（十勝総合振興局）,,,
1648,北海道,陸別町（十勝総合振興局）,,,
1649,北海道,浦幌町（十勝総合振興局）,,,
1661,北海道,釧路町（釧路総合振興局）,,,
1662,北海道,厚岸町（釧路総合振興局）,,,
1663,北海道,浜中町（釧路総合振興局）,,,
1664,北海道,標茶町（釧路総合振興局）,,,
1665,北海道,弟子屈町（釧路総合振興局）,,,
1667,北海道,鶴居村（釧路総合振興局）,,,
1668,北海道,白糠町（釧路総合振興局）,,,
1691,北海道,別海町（根室振興局）,,,
1692,北海道,中標津町（根室振興局）,,,
1693,北海道,標津町（根室振興局）,,,
1694,北海道,羅臼町（根室振興局）,,,
2201,青森県,青森市,,,
2202,青森県,弘前市,,,
2203,青森県,八戸市,,,
2204,青森県,黒石市,,,
2205,青森県,五所川原市,,,
2206,青森県,十和田市,,,
2207,青森県,三沢市,,,
2208,青森県,むつ市,,,
2209,青森県,つがる市,,,
2210,青森県,平川市,,,
2301,青森県,平内町（東津軽郡）,,,
2303,青森県,今別町（東津軽郡）,,,
2304,青森県,蓬田村（東津軽郡）,,,
2307,青森県,外ヶ浜町（東津軽郡）,,,
2321,青森県,鰺ヶ沢町（西津軽郡）,,,
2323,青森県,深浦町（西津軽郡）,,,
2343,青森県,西目屋村（中津軽郡）,,,
2361,青森県,藤崎町（南津軽郡）,,,
2362,青森県,大鰐町（南津軽郡）,,,
2367,青森県,田舎館村（南津軽郡）,,,
2381,青森県,板柳町（北津軽郡）,,,
2384,青森県,鶴田町（北津軽郡）,,,
2387,青森県,中泊町（北津軽郡）,,,
2401,青森県,野辺地町（上北郡）,,,
2402,青森県,七戸町（上北郡）,,,
2405,青森県,六戸町（上北郡）,,,
2406,青森県,横浜町（上北郡）,,,
2408,青森県,東北町（上北郡）,,,
2411,青森県,六ヶ所村（上北郡）,,,
2412,青森県,おいらせ町（上北郡）,,,
2423,青森県,大間町（下北郡）,,,
2424,青森県,東通村（下北郡）,,,
2425,青森県,風間浦村（下北郡）,,,
2426,青森県,佐井村（下北郡）,,,
2441,青森県,三戸町（三戸郡）,,,
